,id,name,level,parent
0,0,Toutes catégories,1,nul
71,3,Arts et divertissements,2,nul
582,5,Informatique et électronique,2,nul
376,7,Finance,2,nul
748,8,Jeux,2,nul
856,11,Maison et jardinage,2,nul
897,12,Marchés commerciaux et industriels,2,nul
717,13,Internet et télécoms,2,nul
483,14,Individus et société,2,nul
1,16,Actualités,2,nul
1226,18,Shopping,2,nul
787,19,Justice et administrations,2,nul
1352,20,Sports,2,nul
846,22,Livres et littérature,2,nul
80,23,Arts du spectacle,3,nul
90,24,Design et arts visuels,3,nul
988,25,Marketing et publicité,3,nul
1022,28,Services de bureautique,4,Services professionnels
474,29,Immobilier,2,nul
667,30,Matériel informatique,3,nul
701,31,Programmation,3,nul
633,32,Logiciels,3,nul
152,33,Insolite,3,nul
113,34,Films,3,nul
155,35,Musique et audio,3,nul
225,36,TV et vidéo,3,nul
381,37,Banque,3,nul
377,38,Assurance,3,nul
750,39,Jeux de cartes,3,nul
766,41,Jeux vidéo et informatiques,3,nul
163,42,Jazz,5,Musique et audio
331,43,Cadeaux en ligne,3,nul
1329,44,Soins du corps et remise en forme,2,nul
1092,45,Santé,2,nul
918,46,Agriculture et sylviculture,3,nul
242,47,Automobiles et véhicules,2,nul
929,48,Construction et maintenance,3,nul
958,49,Fabrication,3,nul
1038,50,Transport et logistique,3,nul
743,53,Hébergement Web et enregistrement de noms de domaine,4,Services Web
533,54,Problèmes sociaux et militantisme,3,nul
340,55,Rencontres,3,nul
515,56,Groupes ethniques et identitaires,3,nul
534,57,Associations caritatives et philanthropie,4,Problèmes sociaux et militantisme
501,58,Éducation des enfants,5,Famille et relations personnelles
552,59,Religions et croyances,3,nul
350,60,Emploi,3,nul
1304,61,Petites annonces,3,nul
21,63,Météo,3,nul
427,64,Antiquités et objets de collection,3,nul
398,65,Hobbies et loisirs,2,nul
54,66,Animaux et animaux de compagnie,2,nul
1398,67,Voyages,2,nul
1280,68,Habillement,3,nul
1308,69,Ressources pour les consommateurs,3,nul
1233,70,Cadeaux et articles pour événements spéciaux,3,nul
29,71,Alimentation et boissons,2,nul
1278,73,Grands magasins et hypermarchés,3,nul
355,74,Enseignement,3,nul
815,75,Droit,3,nul
788,76,Administrations,3,nul
711,77,Technologies d'entreprise,3,nul
593,78,Électronique grand public,3,nul
544,82,Problèmes environnementaux,4,Problèmes sociaux et militantisme
991,83,Services de marketing,4,Marketing et publicité
744,84,Optimisation du référencement et liens sponsorisés,4,Services Web
309,89,Pièces et accessoires pour véhicule,3,nul
608,91,Systèmes et composants stéréos,5,Électronique grand public
1348,93,Soin de la peau et des ongles,4,Soins du visage et du corps
1338,94,Remise en forme,3,nul
1004,95,Fournitures de bureau,4,Services professionnels
475,96,Agences immobilières,3,nul
1312,97,Défense et protection des consommateurs,4,Ressources pour les consommateurs
1333,98,Collections et créateurs de mode,4,Mode et tendances
1235,99,Cadeaux,4,Cadeaux et articles pour événements spéciaux
1236,100,Cartes de vœux et autres cartes,4,Cadeaux et articles pour événements spéciaux
567,101,Spiritualité,4,Religions et croyances
341,102,Petites annonces pour rencontres,4,Rencontres
734,104,Fournisseurs d'accès Internet,4,Fournisseurs d'accès et opérateurs
761,105,Jeux en ligne,3,nul
394,107,Investissements,3,nul
1075,108,Ressources linguistiques,3,nul
7,112,Actualités des TV et radios,3,nul
530,113,"Lesbiennes, gays, bisexuels et transsexuels",4,Groupes ethniques et identitaires
504,115,Hygiène et soin des nourrissons,7,Famille et relations personnelles
1361,118,Sports aquatiques,3,nul
64,119,Faune,3,nul
864,120,Vaisselle et ustensiles de cuisine,4,Articles de cuisine et de repas
49,121,Épiceries et magasins d'alimentation,3,nul
38,122,Cuisine et recettes,3,nul
1307,123,Produits du tabac,3,nul
1281,124,Accessoires vestimentaires,4,Habillement
896,137,Travaux manuels et décoration intérieure,3,nul
251,138,Entretien des véhicules,3,nul
1343,143,Soins du visage et du corps,3,nul
1344,144,Épilation corporelle et faciale,4,Soins du visage et du corps
1350,145,Thalassothérapie et soin du corps,3,nul
1341,146,Soins capillaires,3,nul
1331,147,Cosmétique et professionnels de la beauté,3,nul
327,148,Véhicules tout terrain,3,nul
487,154,Enfants et adolescents,3,nul
906,157,Ressources humaines,4,Activités commerciales
887,158,Travaux d'intérieur,3,nul
829,166,Sécurité publique,3,nul
842,168,Services d'urgence,4,Sécurité publique
304,170,Permis et immatriculation des véhicules,3,nul
532,171,Indiens d'Amérique,5,Groupes ethniques et identitaires
1189,174,Sciences,2,nul
1412,179,Hôtels et hébergements,3,nul
1394,180,Sports mécaniques,3,nul
139,182,Humour,3,nul
4,184,Actualités des célébrités et du monde du spectacle,3,nul
1332,185,Mode et tendances,3,nul
434,188,Clubs et vie nocturne,3,nul
433,189,Clubs et associations,3,nul
346,191,Services de forum et de chat,3,nul
1155,195,Santé génésique,3,nul
1157,198,Contraception,4,Santé génésique
1164,202,Troubles de l'érection,4,Santé génésique
1423,203,Voyages aériens,3,nul
1413,205,Location de voitures et taxis,3,nul
1402,206,Croisières et affrètements,3,nul
1403,208,Destinations touristiques,3,nul
137,210,Vente de vidéos et DVD,4,Films
222,211,Vidéo en ligne,4,Supports en ligne
136,213,Souvenirs cinématographiques,4,Films
190,215,Radio,4,Musique et audio
206,216,Instruments de musique,5,Musique et audio
211,217,Vente de CD et audio,4,Musique et audio
156,218,Arts et souvenirs musicaux,4,Musique et audio
167,220,Musique en streaming et en téléchargement,4,Musique et audio
666,224,Utilitaires logiciels,4,Logiciels
660,225,Pilotes de périphériques,4,Logiciels
670,226,Mémoire informatique,5,Matériel informatique
606,227,Lecteurs MP3 et multimédias portables,5,Électronique grand public
631,228,Ordinateurs de poche et assistants personnels,5,Électronique grand public
615,229,Équipement TV et vidéo,4,Électronique grand public
312,230,Systèmes audio pour voiture,5,Pièces et accessoires pour véhicule
1222,231,Technologie et ingénierie,3,nul
943,233,Énergie et services collectifs,3,nul
1346,234,Maquillage et cosmétiques,4,Soins du visage et du corps
1342,235,Calvitie,4,Soins capillaires
1337,236,Régimes amaigrissants,3,nul
1144,237,Vitamines et compléments,4,Nutrition
1336,238,Chirurgie esthétique,4,Procédures cosmétiques
1349,239,Tatouages & piercings,3,nul
1339,241,Culturisme,4,Remise en forme
1347,242,Parfums et fragrances,4,Soins du visage et du corps
1345,244,Hygiène et articles de toilette,4,Soins du visage et du corps
1186,245,Soins bucco-dentaires,3,nul
1145,246,Ophtalmologie,3,nul
1150,248,Pharmacie,3,nul
380,249,Assurance maladie,4,Assurance
1179,250,Hôpitaux et cliniques,4,Services et établissements médicaux
1101,251,Équipements et appareils médicaux,3,nul
1104,252,Fondations pour la santé et la recherche médicale,3,nul
1105,253,Littérature et ressources médicales,3,nul
1100,254,Éducation sanitaire et formation médicale,3,nul
998,255,Produits pharmaceutiques et biotechnologie,3,nul
1177,256,Services et établissements médicaux,3,nul
1093,257,Abus de substances illégales ou toxiques,3,nul
1367,258,Football américain,4,Sports d'équipe
1363,259,Baseball,4,Sports d'équipe
1369,260,Hockey,4,Sports d'équipe
1389,261,Golf,4,Sports individuels
1392,262,Sports de raquette,4,Sports individuels
1228,263,Articles de sport,3,nul
1364,264,Basketball,4,Sports d'équipe
1373,265,Sports d'hiver,3,nul
1069,268,Cartes géographiques,4,Références géographiques
878,269,Jardinage et aménagement paysager,3,nul
880,270,Mobilier de maison,3,nul
857,271,Appareils ménagers,3,nul
883,272,Lampes et luminaires,4,Mobilier de maison
303,273,Motos,3,nul
336,275,Partage de photos et vidéos,3,nul
50,276,Restaurants,3,nul
30,277,Boissons alcoolisées,3,nul
385,278,Comptabilité et audit,3,nul
388,279,Crédit et prêt,3,nul
716,280,Services marchands et systèmes de paiement,5,Technologies d'entreprise
428,284,Artisanat,3,nul
952,287,Équipements et matériaux industriels,3,nul
969,288,Industrie chimique,3,nul
1045,289,Fret et transport routier,4,Transport et logistique
1044,290,Emballage,4,Transport et logistique
1040,291,Déménagement et installation,4,Transport et logistique
1328,292,Ventes aux enchères,3,nul
447,293,Mariages,4,Occasions spéciales
1366,294,Football,4,Sports d'équipe
1365,296,Cricket,4,Sports d'équipe
37,297,Cours de cuisine,3,nul
578,298,Seniors et retraités,3,nul
329,299,Communautés en ligne,2,nul
740,301,Portails Web,3,nul
741,302,Services Web,3,nul
661,303,Systèmes d'exploitation,4,Logiciels
646,304,Navigateurs et clients Internet,5,Logiciels
622,305,Télévisions,5,Électronique grand public
463,306,Appareils photo et caméscopes,5,Photographie et arts numériques
464,307,Appareils photo,6,Photographie et arts numériques
465,308,Caméscopes,6,Photographie et arts numériques
672,309,Ordinateurs de bureau,4,Matériel informatique
673,310,Ordinateurs portables et notebooks,4,Matériel informatique
695,311,Mise en réseau,3,nul
675,312,Périphériques pour ordinateur,4,Matériel informatique
658,313,Open Source,4,Logiciels
708,314,Sécurité informatique,3,nul
709,315,Antivirus et protection contre les programmes malveillants,4,Sécurité informatique
85,316,Bandes dessinées et animations,3,nul
88,317,Dessins animés et mangas,4,Bandes dessinées et animations
86,318,Bandes dessinées,4,Bandes dessinées et animations
87,319,Dessins animés,4,Bandes dessinées et animations
343,320,Sites de classement de photos,4,Rencontres
339,321,Partage et hébergement de fichiers,3,nul
1237,323,Fleurs,4,Cadeaux et articles pour événements spéciaux
1234,324,Articles de fêtes et célébrations,4,Cadeaux et articles pour événements spéciaux
745,326,Programmes d'affiliation,4,Services Web
990,327,Relations publiques,4,Marketing et publicité
993,328,Télémarketing,4,Marketing et publicité
999,329,Services professionnels,3,nul
908,330,Recrutement et gestion du personnel,5,Activités commerciales
907,331,Formation interne,5,Activités commerciales
967,332,Services documentaires et d'impression,4,Impression et PAO
1012,333,Mobilier d'entreprise,5,Services professionnels
1002,334,Événements d'entreprise,4,Services professionnels
1003,335,Salons professionnels et conventions,5,Services professionnels
905,336,Présentations commerciales et programmes d'action,4,Activités commerciales
1023,337,Gestion des infrastructures et des bureaux,5,Services professionnels
899,338,Gestion,4,Activités commerciales
715,340,Services de commerce électronique,4,Technologies d'entreprise
712,341,Gestion de la relation clientèle (GRC),4,Technologies d'entreprise
714,342,Progiciels de gestion intégrés,4,Technologies d'entreprise
713,343,Gestion des données,4,Technologies d'entreprise
710,344,Sécurité réseau,4,Sécurité informatique
697,346,Équipement réseau,4,Mise en réseau
696,347,Administration et surveillance des réseaux,4,Mise en réseau
1283,350,Pierres précieuses et bijoux,5,Habillement
1311,352,Comparatifs de prix,5,Ressources pour les consommateurs
1309,353,Critiques de produits et comparateurs de prix,4,Ressources pour les consommateurs
1048,354,Import-export,4,Transport et logistique
849,355,Librairies,3,nul
939,356,Défense et industrie aérospatiale,3,nul
230,357,Feuilletons TV,6,TV et vidéo
227,358,Programmes et émissions TV,4,TV et vidéo
226,359,Chaînes et bouquets de télévision,4,TV et vidéo
114,360,Cinéma indien et pakistanais,4,Films
604,361,Équipement audio,4,Électronique grand public
627,362,Gadgets et appareils électroniques portables,4,Électronique grand public
436,364,Lotos et loteries,4,"Concours, prix et trophées"
1313,365,Réductions et remises,4,Ressources pour les consommateurs
808,366,Armée,3,nul
358,367,Cours par correspondance,4,Enseignement
371,369,Formation professionnelle et continue,4,Enseignement
366,371,Enseignement primaire et secondaire,4,Enseignement
361,372,Écoles et universités,4,Enseignement
375,373,Tests d'admission et standardisés,4,Enseignement
1067,374,Ressources pédagogiques,4,Références générales
1057,375,Bibliothèques et musées,3,nul
1056,377,Annuaires professionnels et particuliers,4,Annuaires et répertoires
480,378,Location de maisons et d'appartements,3,nul
68,379,Accessoires et aliments pour animaux,4,Produits et services pour les animaux
70,380,Vétérinaires,4,Produits et services pour les animaux
784,381,Astuces et conseils pour jeux,5,Jeux vidéo et informatiques
718,382,Appareils mobiles et sans fil,3,nul
732,383,Fournisseurs d'accès et opérateurs,3,nul
735,384,Opérateurs de téléphonie,4,Fournisseurs d'accès et opérateurs
730,385,Équipement de communication,3,nul
727,386,Chat vocal et vidéo,4,E-mail et messagerie
736,389,Cartes prépayées,5,Fournisseurs d'accès et opérateurs
724,390,Téléphones mobiles,4,Appareils mobiles et sans fil
747,392,Téléconférence,3,nul
726,394,E-mail et messagerie,3,nul
22,396,Politique,3,nul
23,398,Campagnes et élections,4,Politique
500,400,Ascendance et généalogie,5,Famille et relations personnelles
1154,401,Grossesse et maternité,5,Santé féminine
505,402,Camps de vacances,6,Famille et relations personnelles
507,403,Puériculture,6,Famille et relations personnelles
32,404,Bière,4,Boissons alcoolisées
33,405,Vin,4,Boissons alcoolisées
31,406,Alcool,4,Boissons alcoolisées
20,408,Journaux,3,nul
27,409,Politiques de droite,4,Politique
28,410,Politiques de gauche,4,Politique
853,412,Magazines,3,nul
1148,418,Personnel infirmier,3,nul
1107,419,Maladies,3,nul
1115,420,Maladies de la peau,4,Maladies
1161,421,Maladies sexuellement transmissibles,4,Santé génésique
742,422,Conception et développement Web,4,Services Web
824,423,Faillites,4,Droit
822,424,Droit pénal,4,Droit
478,425,Gestion immobilière,3,nul
826,426,Propriété intellectuelle,4,Droit
825,427,Loi sur les accidents et les dommages aux personnes,4,Droit
1294,428,T-Shirts,5,Habillement
1111,429,Cancer,4,Maladies
1303,432,Jouets,3,nul
1081,433,Histoire,4,Sciences humaines
584,434,Appareils électroniques et électriques,3,nul
1190,435,Astronomie,3,nul
1213,436,Mathématiques,3,nul
1167,437,Santé mentale,3,nul
318,438,Roues et pneus pour véhicules,4,Pièces et accessoires pour véhicule
461,439,Photographie et arts numériques,3,nul
1191,440,Biologie,3,nul
1221,441,Sciences de l'eau et océanographie,4,Sciences de la Terre
1198,442,Écologie et environnement,3,nul
1217,443,Géologie,4,Sciences de la Terre
1215,444,Physique,3,nul
1200,445,Équipement scientifique,3,nul
1212,446,Institutions scientifiques,3,nul
110,447,Divertissements Flash,4,Divertissement et infos diverses
553,448,Astrologie et arts divinatoires,4,Religions et croyances
154,449,Surnaturel et paranormal,4,Insolite
1314,450,Services aux consommateurs,4,Ressources pour les consommateurs
1316,451,Garanties et contrats de service,5,Ressources pour les consommateurs
1141,456,Nutrition,3,nul
1142,457,Régimes spéciaux et restrictifs,4,Nutrition
439,458,Cyclisme,3,nul
405,459,Nautisme,4,Activités nautiques
400,461,Chasse et tir,4,Activités de plein air
402,462,Pêche,4,Activités de plein air
477,463,Évaluations et expertises immobilières,3,nul
379,465,Assurance habitation,4,Assurance
390,466,Crédit immobilier,4,Crédit et prêt
378,467,Assurance auto,4,Assurance
391,468,Financement auto,4,Crédit et prêt
874,471,Désinsectisation et dératisation,3,nul
875,472,Employés de maison,3,nul
243,473,Achat de véhicules,3,nul
1080,474,Sciences humaines,3,nul
91,477,Architecture,4,Design et arts visuels
737,485,Moteurs de recherche,3,nul
650,486,Logiciels de graphisme et d'animation,5,Logiciels
682,487,Moniteurs et écrans d'ordinateur,5,Matériel informatique
698,488,Formats des données et protocoles,4,Mise en réseau
618,492,Lecteurs et enregistreurs vidéo,5,Électronique grand public
683,493,Périphériques d'entrée,5,Matériel informatique
678,494,Imprimantes,6,Matériel informatique
680,495,Scanners,6,Matériel informatique
685,496,Stockage de données,4,Matériel informatique
648,497,Logiciels multimédia,4,Logiciels
637,498,Logiciels d'entreprise et de productivité,4,Logiciels
1138,499,Médecines douces et naturelles,3,nul
1180,500,Physiothérapie,4,Services et établissements médicaux
733,501,Fournisseurs d'accès au câble et au satellite,4,Fournisseurs d'accès et opérateurs
470,502,Sous-cultures et centres d'intérêt,3,nul
472,503,Sous-culture gothique,4,Sous-cultures et centres d'intérêt
347,504,Services et ressources de création de blogs,3,nul
1197,505,Chimie,3,nul
5,507,Actualités des journaux populaires et tabloïds,3,nul
843,508,Services sociaux,3,nul
571,509,Sciences sociales,3,nul
577,510,Statistiques démographiques,4,Sciences sociales
845,511,Services de conseil,4,Services sociaux
1379,512,Lutte,4,Sports de combat
1358,513,Jeux Olympiques,4,Compétitions sportives internationales
1376,514,Sports de combat,3,nul
1378,515,Boxe,4,Sports de combat
1377,516,Arts martiaux,4,Sports de combat
1370,517,Rugby,4,Sports d'équipe
1384,518,Athlétisme,4,Sports individuels
1390,519,Gymnastique,4,Sports individuels
572,520,Économie,4,Sciences sociales
576,521,Relations internationales,4,Sciences sociales
819,522,Droit de la famille,4,Droit
1055,527,Annuaires et répertoires,3,nul
522,528,Sud-asiatiques et diasporas,5,Groupes ethniques et identitaires
344,529,Réseaux sociaux,3,nul
1291,530,Sous-vêtements,4,Habillement
1305,531,Portails d'achats en ligne et moteurs de recherche,3,nul
635,532,Sonneries et accessoires pour téléphones mobiles,5,Logiciels
1054,533,Références,2,nul
1371,534,Supporters,4,Sports d'équipe
835,535,Respect de la loi,4,Sécurité publique
1158,536,Éducation et conseils sexuels,4,Santé génésique
153,538,Insolite et extrême,4,Insolite
109,539,Divertissement et infos diverses,3,nul
848,540,Fan fiction,3,nul
438,541,Course et randonnée,3,nul
403,542,Randonnées et camping,4,Activités de plein air
575,543,Psychologie,4,Sciences sociales
342,546,Services matrimoniaux,4,Rencontres
517,547,Américains d'origine africaine,5,Groupes ethniques et identitaires
529,548,Latinos et latino-américains,4,Groupes ethniques et identitaires
520,549,Est-asiatiques et diasporas,5,Groupes ethniques et identitaires
524,550,Culture juive,4,Groupes ethniques et identitaires
994,551,Petites entreprises,3,nul
996,552,Marketing multiniveau et opportunités commerciales,4,Petites entreprises
1380,554,Sports extrêmes,3,nul
807,555,Visa et immigration,4,Administrations
518,556,Arabes et Moyen-Orientaux,4,Groupes ethniques et identitaires
1351,557,Massothérapie,4,Thalassothérapie et soin du corps
1153,558,Gynécologue obstétricien,4,Santé féminine
1130,559,Pathologies cardiaques et hypertension,4,Maladies
34,560,Boissons non alcoolisées,3,nul
55,563,Animaux de compagnie,3,nul
854,565,Poésie,3,nul
1037,566,Textiles et non-tissés,3,nul
591,567,Assistance technique,3,nul
401,568,Équitation,4,Activités de plein air
73,569,Agendas et événementiel,3,nul
1134,571,Troubles alimentaires,4,Maladies
18,572,Informations locales,3,nul
462,573,Équipement photo et vidéo,4,Photographie et arts numériques
